,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,infileELF/test_int,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x4006a0","mov rcx, 0x400630","mov rdi, 0x400596",call 0xffffffffffffffe0,hlt ,nop word ptr [rax + rax],"mov eax, 0x601047",push rbp,"sub rax, 0x601040","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601040",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601040",push rbp,"sub rsi, 0x601040","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601040",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200ae9], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200ad6], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp",,,,,,,,,,,,,,,,,,,,,,,
1,infileELF/quick,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x4008b0","mov rcx, 0x400840","mov rdi, 0x400799",call 0xffffffffffffffe0,hlt ,nop word ptr [rax + rax],"mov eax, 0x60104f",push rbp,"sub rax, 0x601048","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601048",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601048",push rbp,"sub rsi, 0x601048","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601048",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200ab1], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200a9e], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp","mov qword ptr [rbp - 0x18], rdi",,,,,,,,,,,,,,,,,,,,,,
2,infileELF/va_array,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x4009d0","mov rcx, 0x400960","mov rdi, 0x400596",call 0xffffffffffffffe0,hlt ,nop word ptr [rax + rax],"mov eax, 0x601047",push rbp,"sub rax, 0x601040","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601040",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601040",push rbp,"sub rsi, 0x601040","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601040",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200ae9], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200ad6], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp","mov ecx, 0x1e",,,,,,,,,,,,,,,,,,,,,,
3,infileELF/randgen,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x4006a0","mov rcx, 0x400630","mov rdi, 0x4005f6",call 0xffffffffffffffb0,hlt ,nop word ptr [rax + rax],"mov eax, 0x601057",push rbp,"sub rax, 0x601050","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601050",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601050",push rbp,"sub rsi, 0x601050","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601050",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200a99], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200a86], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp","mov edi, 0",,,,,,,,,,,,,,,,,,,,,,
4,infileELF/matrix_sample,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x400b80","mov rcx, 0x400b10","mov rdi, 0x400975",call 0xffffffffffffffe0,hlt ,nop word ptr [rax + rax],"mov eax, 0x601047",push rbp,"sub rax, 0x601040","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601040",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601040",push rbp,"sub rsi, 0x601040","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601040",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200ae9], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200ad6], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp","sub rsp, 0x20",,,,,,,,,,,,,,,,,,,,,,
5,infileELF/convention_64,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x400650","mov rcx, 0x4005e0","mov rdi, 0x40058e",call 0xffffffffffffffe0,hlt ,nop word ptr [rax + rax],"mov eax, 0x60103f",push rbp,"sub rax, 0x601038","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601038",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601038",push rbp,"sub rsi, 0x601038","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601038",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200b51], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200b3e], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp","sub rsp, 0x30",,,,,,,,,,,,,,,,,,,,,,
6,infileELF/syslog_sample,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x400660","mov rcx, 0x4005f0","mov rdi, 0x4005b6",call 0xffffffffffffffc0,hlt ,nop word ptr [rax + rax],"mov eax, 0x60104f",push rbp,"sub rax, 0x601048","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601048",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601048",push rbp,"sub rsi, 0x601048","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601048",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200ad1], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200abe], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp","mov edx, 8",,,,,,,,,,,,,,,,,,,,,,
7,infileELF/setValue,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x4008b0","mov rcx, 0x400840","mov rdi, 0x400802",call 0xffffffffffffffc0,hlt ,nop word ptr [rax + rax],"mov eax, 0x60105f",push rbp,"sub rax, 0x601058","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601058",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601058",push rbp,"sub rsi, 0x601058","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601058",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200a31], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200a1e], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp","sub rsp, 0x30",,,,,,,,,,,,,,,,,,,,,,
8,infileELF/heap,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x4007b0","mov rcx, 0x400740","mov rdi, 0x4005f6",call 0xffffffffffffffd0,hlt ,nop word ptr [rax + rax],"mov eax, 0x601057",push rbp,"sub rax, 0x601050","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601050",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601050",push rbp,"sub rsi, 0x601050","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601050",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200a99], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200a86], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp","sub rsp, 0x60",,,,,,,,,,,,,,,,,,,,,,
9,infileELF/test_int_32bit,"xor ebp, ebp",pop esi,"mov ecx, esp","and esp, 0xfffffff0",push eax,push esp,push edx,call 0x32,"add ebx, 0x1b84","lea eax, [ebx - 0x1954]",push eax,"lea eax, [ebx - 0x19b4]",push eax,push ecx,push esi,push dword ptr [ebx + 0x24],call 0xffffffe0,hlt ,"mov ebx, dword ptr [esp]",ret ,nop ,nop ,nop ,nop ,nop ,"mov ebx, dword ptr [esp]",ret ,nop ,nop ,nop ,nop ,nop ,nop ,call 0x139,"add edx, 0x1b3f","lea ecx, [edx + 0x34]","lea eax, [edx + 0x34]","cmp eax, ecx",je 0x88,"mov eax, dword ptr [edx + 0x18]","test eax, eax",je 0x88,push ebp,"mov ebp, esp","sub esp, 0x14",push ecx,call eax,"add esp, 0x10",leave ,ret ,nop ,"lea esi, [esi]",ret ,"lea esi, [esi]",call 0x139,"add edx, 0x1aff",push ebp,"lea ecx, [edx + 0x34]","lea eax, [edx + 0x34]","sub eax, ecx","mov ebp, esp",push ebx,"sar eax, 2","mov ebx, eax","sub esp, 4","shr ebx, 0x1f","add eax, ebx","sar eax, 1",je 0xd2,"mov edx, dword ptr [edx + 0x28]","test edx, edx",je 0xd2,"sub esp, 8",push eax,push ecx,call edx,"add esp, 0x10","mov ebx, dword ptr [ebp - 4]",leave ,ret ,"mov esi, esi","lea edi, [edi]",push ebp,"mov ebp, esp",push ebx,call 0x40,"add ebx, 0x1aab","sub esp, 4","cmp byte ptr [ebx + 0x34], 0",jne 0x122,,,,,,,
10,infileELF/convention_86,"xor ebp, ebp",pop esi,"mov ecx, esp","and esp, 0xfffffff0",push eax,push esp,push edx,push 0x8048500,push 0x80484a0,push ecx,push esi,push 0x804845c,call 0xffffffe0,hlt ,nop ,nop ,nop ,nop ,nop ,nop ,nop ,"mov ebx, dword ptr [esp]",ret ,nop ,nop ,nop ,nop ,nop ,nop ,"mov eax, 0x804a01f","sub eax, 0x804a01c","cmp eax, 6",jbe 0x69,"mov eax, 0","test eax, eax",je 0x69,push ebp,"mov ebp, esp","sub esp, 0x14",push 0x804a01c,call eax,"add esp, 0x10",leave ,ret ,nop ,"lea esi, [esi]","mov eax, 0x804a01c","sub eax, 0x804a01c","sar eax, 2","mov edx, eax","shr edx, 0x1f","add eax, edx","sar eax, 1",je 0xa3,"mov edx, 0","test edx, edx",je 0xa3,push ebp,"mov ebp, esp","sub esp, 0x10",push eax,push 0x804a01c,call edx,"add esp, 0x10",leave ,ret ,"lea esi, [esi]","lea edi, [edi]","cmp byte ptr [0x804a01c], 0",jne 0xcc,push ebp,"mov ebp, esp","sub esp, 8",call 0x40,"mov byte ptr [0x804a01c], 1",leave ,ret ,nop ,"mov eax, 0x8049f10","mov edx, dword ptr [eax]","test edx, edx",jne 0xe0,jmp 0x70,"lea esi, [esi]","mov edx, 0","test edx, edx",je 0xdb,push ebp,"mov ebp, esp","sub esp, 0x14",push eax,call edx,"add esp, 0x10",leave ,jmp 0x70,push ebp,"mov ebp, esp"
11,infileELF/array_double,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x4006a0","mov rcx, 0x400630","mov rdi, 0x400596",call 0xffffffffffffffe0,hlt ,nop word ptr [rax + rax],"mov eax, 0x601047",push rbp,"sub rax, 0x601040","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x601040",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x601040",push rbp,"sub rsi, 0x601040","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x601040",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x200ae9], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x200ad6], 1",ret ,nop dword ptr [rax],"mov edi, 0x600e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp",,,,,,,,,,,,,,,,,,,,,,,
12,infileELF/ptrace,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x400e60","mov rcx, 0x400df0","mov rdi, 0x400c6c",call 0xffffffffffffff80,hlt ,nop word ptr [rax + rax],"mov eax, 0x602087",push rbp,"sub rax, 0x602080","cmp rax, 0xe","mov rbp, rsp",jbe 0x60,"mov eax, 0","test rax, rax",je 0x60,pop rbp,"mov edi, 0x602080",jmp rax,nop word ptr [rax + rax],pop rbp,ret ,nop dword ptr [rax],nop word ptr cs:[rax + rax],"mov esi, 0x602080",push rbp,"sub rsi, 0x602080","sar rsi, 3","mov rbp, rsp","mov rax, rsi","shr rax, 0x3f","add rsi, rax","sar rsi, 1",je 0xa8,"mov eax, 0","test rax, rax",je 0xa8,pop rbp,"mov edi, 0x602080",jmp rax,nop dword ptr [rax],pop rbp,ret ,nop word ptr [rax + rax],"cmp byte ptr [rip + 0x2018e9], 0",jne 0xca,push rbp,"mov rbp, rsp",call 0x30,pop rbp,"mov byte ptr [rip + 0x2018d6], 1",ret ,nop dword ptr [rax],"mov edi, 0x601e20","cmp qword ptr [rdi], 0",jne 0xe0,jmp 0x70,nop dword ptr [rax],"mov eax, 0","test rax, rax",je 0xdb,push rbp,"mov rbp, rsp",call rax,pop rbp,jmp 0x70,push rbp,"mov rbp, rsp",,,,,,,,,,,,,,,,,,,,,,,
