,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,testfile_elf/test_int,__libc_csu_init,push r15,push r14,"mov r15d, edi",push r13,push r12,"lea r12, [rip + 0x2007ce]",push rbp,"lea rbp, [rip + 0x2007ce]",push rbx,"mov r14, rsi","mov r13, rdx","sub rbp, r12","sub rsp, 8","sar rbp, 3",call 0x400298,"test rbp, rbp",je 0x4004f6,"xor ebx, ebx",nop dword ptr [rax + rax],"mov rdx, r13","mov rsi, r14","mov edi, r15d",call qword ptr [r12 + rbx*8],"add rbx, 1","cmp rbx, rbp",jne 0x4004e0,"add rsp, 8",pop rbx,pop rbp,pop r12,pop r13,pop r14,pop r15,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,testfile_elf/test_int,_start,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x4006a0","mov rcx, 0x400630","mov rdi, 0x400596",call 0x400480,hlt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,testfile_elf/test_int,main,push rbp,"mov rbp, rsp","sub rsp, 0xc0","mov rax, qword ptr fs:[0x28]","mov qword ptr [rbp - 8], rax","xor eax, eax","lea rax, [rbp - 0xb0]","mov esi, 0x400700","mov edx, 0x14","mov rdi, rax","mov rcx, rdx","rep movsq qword ptr [rdi], qword ptr [rsi]","mov dword ptr [rbp - 0xb4], 0",jmp 0x400507,"mov eax, dword ptr [rbp - 0xb4]",cdqe ,"mov eax, dword ptr [rbp + rax*4 - 0xb0]","mov esi, eax","mov edi, 0x4006e0","mov eax, 0",call 0x40037a,"add dword ptr [rbp - 0xb4], 1","cmp dword ptr [rbp - 0xb4], 0x27",jle 0x4004e0,"mov eax, 0","mov rdx, qword ptr [rbp - 8]","xor rdx, qword ptr fs:[0x28]",je 0x400529,call 0x40036a,leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,testfile_elf/test_double,__libc_csu_init,push r15,push r14,"mov r15d, edi",push r13,push r12,"lea r12, [rip + 0x2007ce]",push rbp,"lea rbp, [rip + 0x2007ce]",push rbx,"mov r14, rsi","mov r13, rdx","sub rbp, r12","sub rsp, 8","sar rbp, 3",call 0x400298,"test rbp, rbp",je 0x4004f6,"xor ebx, ebx",nop dword ptr [rax + rax],"mov rdx, r13","mov rsi, r14","mov edi, r15d",call qword ptr [r12 + rbx*8],"add rbx, 1","cmp rbx, rbp",jne 0x4004e0,"add rsp, 8",pop rbx,pop rbp,pop r12,pop r13,pop r14,pop r15,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,testfile_elf/test_double,_start,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x4006a0","mov rcx, 0x400630","mov rdi, 0x400596",call 0x400480,hlt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,testfile_elf/test_double,main,push rbp,"mov rbp, rsp","sub rsp, 0x170","mov rax, qword ptr fs:[0x28]","mov qword ptr [rbp - 8], rax","xor eax, eax","lea rax, [rbp - 0x150]","mov esi, 0x400700","mov edx, 0x28","mov rdi, rax","mov rcx, rdx","rep movsq qword ptr [rdi], qword ptr [rsi]","mov dword ptr [rbp - 0x154], 0",jmp 0x400515,"mov eax, dword ptr [rbp - 0x154]",cdqe ,"mov rax, qword ptr [rbp + rax*8 - 0x150]","mov qword ptr [rbp - 0x168], rax","movsd xmm0, qword ptr [rbp - 0x168]","mov edi, 0x4006e0","mov eax, 1",call 0x40037a,"add dword ptr [rbp - 0x154], 1","cmp dword ptr [rbp - 0x154], 0x27",jle 0x4004e0,"mov eax, 0","mov rdx, qword ptr [rbp - 8]","xor rdx, qword ptr fs:[0x28]",je 0x400537,call 0x40036a,leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,testfile_elf/ptrace,my_command,push rbp,"mov rbp, rsp","sub rsp, 0xf0","mov dword ptr [rbp - 0xe4], edi","mov rax, qword ptr fs:[0x28]","mov qword ptr [rbp - 8], rax","xor eax, eax","lea rax, [rbp - 0xe0]","mov edx, 0xd8","mov esi, 0","mov rdi, rax",call 0x40055a,"lea rdx, [rbp - 0xe0]","mov eax, dword ptr [rbp - 0xe4]","mov rcx, rdx","mov edx, 0","mov esi, eax","mov edi, 0xc","mov eax, 0",call 0x40059a,"mov rax, qword ptr [rbp - 0x70]","mov rsi, rax","mov edi, 0x400e98","mov eax, 0",call 0x40054a,nop ,"mov rax, qword ptr [rbp - 8]","xor rax, qword ptr fs:[0x28]",je 0x40076a,call 0x40053a,leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,testfile_elf/ptrace,p_attach,push rbp,"mov rbp, rsp","sub rsp, 0x20","mov dword ptr [rbp - 0x14], edi","mov rax, qword ptr fs:[0x28]","mov qword ptr [rbp - 8], rax","xor eax, eax","mov eax, dword ptr [rbp - 0x14]","mov ecx, 0","mov edx, 0","mov esi, eax","mov edi, 0x10","mov eax, 0",call 0x40050e,"lea rcx, [rbp - 0xc]","mov eax, dword ptr [rbp - 0x14]","mov edx, 0","mov rsi, rcx","mov edi, eax",call 0x40051e,nop ,"mov rax, qword ptr [rbp - 8]","xor rax, qword ptr fs:[0x28]",je 0x400743,call 0x4004ae,leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,testfile_elf/ptrace,convertNum_endian,push rbp,"mov rbp, rsp","mov qword ptr [rbp - 0x18], rdi","mov qword ptr [rbp - 8], 0","mov rax, qword ptr [rbp - 0x18]","shl rax, 0x38","add qword ptr [rbp - 8], rax","mov rax, qword ptr [rbp - 0x18]","and eax, 0xff00","shl rax, 0x28","add qword ptr [rbp - 8], rax","mov rax, qword ptr [rbp - 0x18]","and eax, 0xff0000","shl rax, 0x18","add qword ptr [rbp - 8], rax","mov rax, qword ptr [rbp - 0x18]","and eax, 0xff000000","shl rax, 8","add qword ptr [rbp - 8], rax","movabs rax, 0xff00000000","and rax, qword ptr [rbp - 0x18]","sar rax, 8","add qword ptr [rbp - 8], rax","movabs rax, 0xff0000000000","and rax, qword ptr [rbp - 0x18]","sar rax, 0x18","add qword ptr [rbp - 8], rax","movabs rax, 0xff000000000000","and rax, qword ptr [rbp - 0x18]","sar rax, 0x28","add qword ptr [rbp - 8], rax","mov rax, qword ptr [rbp - 0x18]","shr rax, 0x38","mov rdx, rax","mov rax, qword ptr [rbp - 8]","add rax, rdx","mov qword ptr [rbp - 8], rax","mov rax, qword ptr [rbp - 8]",pop rbp,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,testfile_elf/ptrace,testcode_convertNum_endian,push rbp,"mov rbp, rsp","sub rsp, 0x10","movabs rax, 0x1122334455667788","mov qword ptr [rbp - 8], rax","mov rax, qword ptr [rbp - 8]","mov rdi, rax",call 0x400633,"mov rsi, rax","mov edi, 0x400ea5","mov eax, 0",call 0x4003ac,nop ,leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,testfile_elf/ptrace,p_break,push rbp,"mov rbp, rsp","sub rsp, 0x20","mov dword ptr [rbp - 0x14], edi","mov qword ptr [rbp - 0x20], rsi","mov rdx, qword ptr [rbp - 0x20]","mov eax, dword ptr [rbp - 0x14]","mov ecx, 0","mov esi, eax","mov edi, 1","mov eax, 0",call 0x4003c5,"mov qword ptr [rbp - 8], rax","mov rax, qword ptr [rbp - 8]","mov rdi, rax",call 0x4005fc,"mov rsi, rax","mov edi, 0x400eac","mov eax, 0",call 0x400375,"mov rax, qword ptr [rbp - 8]","mov al, 0","or al, 0xcc","mov rcx, rax","mov rdx, qword ptr [rbp - 0x20]","mov eax, dword ptr [rbp - 0x14]","mov esi, eax","mov edi, 4","mov eax, 0",call 0x4003c5,"mov rax, qword ptr [rbp - 0x20]","mov rsi, rax","mov edi, 0x400ec4","mov eax, 0",call 0x400375,"mov rax, qword ptr [rbp - 8]",leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,testfile_elf/ptrace,p_delete,push rbp,"mov rbp, rsp","sub rsp, 0x100","mov dword ptr [rbp - 0xe4], edi","mov qword ptr [rbp - 0xf0], rsi","mov qword ptr [rbp - 0xf8], rdx","mov rax, qword ptr fs:[0x28]","mov qword ptr [rbp - 8], rax","xor eax, eax","mov esi, 0x10","mov edi, 0x400ed7","mov eax, 0",call 0x4002e8,"lea rdx, [rbp - 0xe0]","mov eax, dword ptr [rbp - 0xe4]","mov rcx, rdx","mov edx, 0","mov esi, eax","mov edi, 0xc","mov eax, 0",call 0x400338,"mov rax, qword ptr [rbp - 0xf0]","mov qword ptr [rbp - 0x60], rax","lea rdx, [rbp - 0xe0]","mov eax, dword ptr [rbp - 0xe4]","mov rcx, rdx","mov edx, 0","mov esi, eax","mov edi, 0xd","mov eax, 0",call 0x400338,"mov rcx, qword ptr [rbp - 0xf8]","mov rdx, qword ptr [rbp - 0xf0]","mov eax, dword ptr [rbp - 0xe4]","mov esi, eax","mov edi, 4","mov eax, 0",call 0x400338,nop ,"mov rax, qword ptr [rbp - 8]","xor rax, qword ptr fs:[0x28]",je 0x4007b3,call 0x4002d8,leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,testfile_elf/ptrace,p_continue,push rbp,"mov rbp, rsp","sub rsp, 0x30","mov dword ptr [rbp - 0x24], edi","mov rax, qword ptr fs:[0x28]","mov qword ptr [rbp - 8], rax","xor eax, eax","mov eax, dword ptr [rbp - 0x24]","mov ecx, 0","mov edx, 0","mov esi, eax","mov edi, 7","mov eax, 0",call 0x400263,"mov edi, 0x400ee1",call 0x4001f3,"lea rcx, [rbp - 0xc]","mov eax, dword ptr [rbp - 0x24]","mov edx, 0","mov rsi, rcx","mov edi, eax",call 0x400273,"mov eax, dword ptr [rbp - 0xc]","mov dword ptr [rbp - 0x20], eax","mov eax, dword ptr [rbp - 0x20]","and eax, 0x7f","test eax, eax",jne 0x400770,"mov edi, 0x400eed",call 0x4001f3,"mov eax, dword ptr [rbp - 0xc]","mov esi, eax","mov edi, 0x400f06","mov eax, 0",call 0x400213,"mov edi, 0",call 0x400293,"mov eax, dword ptr [rbp - 0xc]","mov dword ptr [rbp - 0x10], eax","mov eax, dword ptr [rbp - 0x10]","movzx eax, al","cmp eax, 0x7f",jne 0x40079d,"mov edi, 0x400f11",call 0x4001f3,nop ,"mov rax, qword ptr [rbp - 8]","xor rax, qword ptr fs:[0x28]",je 0x4007ac,jmp 0x4007a7,"mov edi, 1",call 0x400293,call 0x400203,leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,testfile_elf/ptrace,p_stepi,push rbp,"mov rbp, rsp","sub rsp, 0x20","mov dword ptr [rbp - 0x14], edi","mov rax, qword ptr fs:[0x28]","mov qword ptr [rbp - 8], rax","xor eax, eax","mov eax, dword ptr [rbp - 0x14]","mov ecx, 0","mov edx, 0","mov esi, eax","mov edi, 9","mov eax, 0",call 0x400195,"lea rcx, [rbp - 0xc]","mov eax, dword ptr [rbp - 0x14]","mov edx, 0","mov rsi, rcx","mov edi, eax",call 0x4001a5,nop ,"mov rax, qword ptr [rbp - 8]","xor rax, qword ptr fs:[0x28]",je 0x400743,call 0x400135,leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,testfile_elf/ptrace,p_quit,push rbp,"mov rbp, rsp","sub rsp, 0x10","mov dword ptr [rbp - 4], edi","mov eax, dword ptr [rbp - 4]","mov ecx, 0","mov edx, 0","mov esi, eax","mov edi, 0x11","mov eax, 0",call 0x400130,nop ,leave ,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,testfile_elf/ptrace,__stat,"mov rdx, rsi","mov rsi, rdi","mov edi, 1",jmp 0x3ffef0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,testfile_elf/ptrace,stat,"mov rdx, rsi","mov rsi, rdi","mov edi, 1",jmp 0x3ffef0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,testfile_elf/ptrace,__libc_csu_init,push r15,push r14,"mov r15d, edi",push r13,push r12,"lea r12, [rip + 0x20100e]",push rbp,"lea rbp, [rip + 0x20100e]",push rbx,"mov r14, rsi","mov r13, rdx","sub rbp, r12","sub rsp, 8","sar rbp, 3",call 0x3ffed8,"test rbp, rbp",je 0x400736,"xor ebx, ebx",nop dword ptr [rax + rax],"mov rdx, r13","mov rsi, r14","mov edi, r15d",call qword ptr [r12 + rbx*8],"add rbx, 1","cmp rbx, rbp",jne 0x400720,"add rsp, 8",pop rbx,pop rbp,pop r12,pop r13,pop r14,pop r15,ret ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,testfile_elf/ptrace,_start,"xor ebp, ebp","mov r9, rdx",pop rsi,"mov rdx, rsp","and rsp, 0xfffffffffffffff0",push rax,push rsp,"mov r8, 0x400e60","mov rcx, 0x400df0","mov rdi, 0x400c6c",call 0x400660,hlt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,testfile_elf/ptrace,main,push rbp,"mov rbp, rsp","sub rsp, 0xd0","mov dword ptr [rbp - 0xc4], edi","mov qword ptr [rbp - 0xd0], rsi","mov rax, qword ptr fs:[0x28]","mov qword ptr [rbp - 8], rax","xor eax, eax","cmp dword ptr [rbp - 0xc4], 1",jg 0x40072e,"mov edi, 0x400f1d",call 0x400094,"mov edi, 0x400f38",call 0x400094,"mov edi, 1",call 0x400134,"mov rax, qword ptr [rbp - 0xd0]","add rax, 8","mov rax, qword ptr [rax]","mov rdi, rax",call 0x400124,"mov dword ptr [rbp - 0xb4], eax","mov rax, qword ptr [rbp - 0xd0]","add rax, 0x10","mov rax, qword ptr [rax]","mov edx, 0","mov esi, 0","mov rdi, rax",call 0x4000e4,"mov qword ptr [rbp - 0xa8], rax","mov eax, dword ptr [rbp - 0xb4]","mov edi, eax",call 0x4002d6,"mov rdx, qword ptr [rbp - 0xa8]","mov eax, dword ptr [rbp - 0xb4]","mov rsi, rdx","mov edi, eax",call 0x40041f,"mov qword ptr [rbp - 0xb0], rax","mov edi, 0x400f60",call 0x400094,"mov eax, dword ptr [rbp - 0xb4]","mov edi, eax",call 0x400581,"mov rdx, qword ptr [rbp - 0xb0]","mov rcx, qword ptr [rbp - 0xa8]","mov eax, dword ptr [rbp - 0xb4]","mov rsi, rcx","mov edi, eax",call 0x4004ac,"lea rax, [rbp - 0xa0]","mov rsi, rax","mov edi, 0x400f70",call 0x4008e4,"test eax, eax",je 0x400826,"mov eax, dword ptr [rbp - 0xb4]","mov edi, eax",call 0x40024a,"mov eax, dword ptr [rbp - 0xb4]","mov edi, eax",call 0x40064f,"mov rdx, qword ptr [rbp - 0xa8]","mov eax, dword ptr [rbp - 0xb4]","mov rsi, rdx","mov edi, eax",call 0x40041f,"mov qword ptr [rbp - 0xb0], rax",jmp 0x40079c,nop ,"mov edi, 0x400f77",call 0x400094,"mov eax, dword ptr [rbp - 0xb4]","mov edi, eax",call 0x4006b4,"mov eax, 0","mov rcx, qword ptr [rbp - 8]","xor rcx, qword ptr fs:[0x28]",je 0x400857,call 0x4000a4,leave ,ret 
